"GEO_ID","P005001","P005002","P005003","P005004","P005005","P005006","P005007","P005008","P005009","P005010","P005011","P005012","P005013","P005014","P005015","P005016","P005017","NAME"
"id","Total","Total!!Not Hispanic or Latino","Total!!Not Hispanic or Latino!!White alone","Total!!Not Hispanic or Latino!!Black or African American alone","Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Total!!Not Hispanic or Latino!!Asian alone","Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Total!!Not Hispanic or Latino!!Some Other Race alone","Total!!Not Hispanic or Latino!!Two or More Races","Total!!Hispanic or Latino","Total!!Hispanic or Latino!!White alone","Total!!Hispanic or Latino!!Black or African American alone","Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Total!!Hispanic or Latino!!Asian alone","Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Total!!Hispanic or Latino!!Some Other Race alone","Total!!Hispanic or Latino!!Two or More Races","Geographic Area Name"
"8600000US90506","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ZCTA5 90506"
"8600000US90601","31974","9387","6948","308","86","1611","30","60","344","22587","12677","118","327","120","12","8035","1298","ZCTA5 90601"
"8600000US90602","25777","6503","5109","298","80","727","22","41","226","19274","10107","90","307","87","12","7815","856","ZCTA5 90602"
"8600000US90603","20063","9972","8616","131","32","937","12","18","226","10091","6273","49","114","70","1","2977","607","ZCTA5 90603"
"8600000US90604","39407","13865","10734","553","116","1886","42","53","481","25542","14364","161","385","93","47","9249","1243","ZCTA5 90604"
"8600000US90605","40331","9175","7046","319","74","1295","69","42","330","31156","17125","177","391","103","37","11992","1331","ZCTA5 90605"
"8600000US90606","32396","4237","3133","230","98","492","35","70","179","28159","15823","108","371","55","18","10755","1029","ZCTA5 90606"
"8600000US90620","45113","30198","15876","1302","133","11268","257","92","1270","14915","7519","117","251","151","38","5639","1200","ZCTA5 90620"
"8600000US90621","35153","18527","6349","1470","54","9916","126","47","565","16626","6580","147","418","103","27","8254","1097","ZCTA5 90621"
"8600000US90623","15554","13061","4308","767","26","7438","41","43","438","2493","1439","29","30","51","7","718","219","ZCTA5 90623"
"8600000US90630","47993","39304","21031","1389","144","14935","206","87","1512","8689","5025","69","148","128","29","2425","865","ZCTA5 90630"
"8600000US90631","67619","31143","22352","901","155","6434","86","96","1119","36476","18238","191","409","160","23","15720","1735","ZCTA5 90631"
"8600000US90638","49012","29541","18602","1016","138","8614","114","103","954","19471","11183","89","256","120","31","6617","1175","ZCTA5 90638"
"8600000US90640","62549","12920","5331","380","98","6638","37","65","371","49629","28331","187","535","203","21","18397","1955","ZCTA5 90640"
"8600000US90650","105549","31508","13007","4135","281","12387","366","191","1141","74041","39082","458","932","313","65","29763","3428","ZCTA5 90650"
"8600000US90660","62928","5533","3272","365","114","1464","15","50","253","57395","34131","236","757","151","27","20012","2081","ZCTA5 90660"
"8600000US90670","14866","2937","1851","283","60","588","20","21","114","11929","6954","51","149","49","11","4224","491","ZCTA5 90670"
"8600000US90680","29945","14886","6725","595","69","6803","124","51","519","15059","6851","119","236","108","12","6968","765","ZCTA5 90680"
